ime,obshtina,moshtnost
"ФтЕЦ ""Каспичан - Христо Ботев""",община Каспичан,0.03
"ФтЕЦ ""Дриново - 5""",община Попово,0.125
"ФтЕЦ ""Русе Търговска - 2""",община Русе,0.052
"ФтЕЦ ""ЗПЗ - Варна - 2""",община Варна,0.0297
"ФтЕЦ ""Контрагент 2000 - Стара Загора""",община Стара Загора,0.099
"ФтЕЦ ""Еко Степ 20-Харманли""",община Харманли,0.11375
"ФтЕЦ ""Еко Трафик - Татарево 5""",община Минерални бани,0.17985
"ФтЕЦ ""Трявна""",община Трявна,0.03
"ФтЕЦ ""Алфатар - Стефан Караджа""",община Алфатар,0.03
"ФтЕЦ ""Пи Ви Джи - Трояново 2""",община Симеоновград,0.17982
"ФтЕЦ ""Челопечене""",община Каварна,0.03
"ФтЕЦ ""Горна Оряховица - Св.Княз Борис - I - 2""",община Горна Оряховица,0.237
"ФтЕЦ ""Писанец - Генчо Дрянков""",община Ветово,0.08
"ФтЕЦ ""Балчик - Страцин""",община Балчик,0.00495
"ФтЕЦ ""Ряхово - Ропотамо - 2""",община Сливо поле,0.03
"ФтЕЦ ""КУБРАТ - РОДИНА""",община Кубрат,0.03
"ФтЕЦ ""Фуерте фуудс - Бенковски""",община Кирково,0.03
"ФтЕЦ ""Пасифик пласт - Деветинци 1""",община Карнобат,0.03
"ФтЕЦ ""Обединение - Гюнлюка""",община Полски Тръмбеш,0.03
"ФтЕЦ ""Пасифик пласт - Лясково 9""",община Айтос,0.03
"ФтЕЦ ""Поликраище - 4""",община Горна Оряховица,0.03
"ФтЕЦ ""Златна нива - Д-р Петър Берон""",община Каспичан,0.05
"ФтЕЦ ""Пасифик Енерджи - Сунгурларе 1""",община Сунгурларе,0.03
"ФтЕЦ ""Пасифик Енерджи - Сунгурларе 3""",община Сунгурларе,0.03
"ФтЕЦ ""Пасифик Енерджи - Сунгурларе 4""",община Сунгурларе,0.03
"ФтЕЦ ""Баниска - Ропотамо""",община Две могили,0.03
"ФтЕЦ  ""Червена вода - Веслец""",община Русе,0.03
"ФтЕЦ"" СВЕТЛА ПАЛОВА-СРЕДЕЦ      4",община Средец,0.03
"ФтЕЦ ""Сиана Енерджи 6""",община Никопол,0.07
"ФтЕЦ ""Търновци - 1""",община Тутракан,0.05
"ФтЕЦ ""Еко Кам""",община Кнежа,0.03
"ФтЕЦ ""Божичен - Дунав""",община Иваново,0.03
"ФтЕЦ ""Ивана АИ 3""",община Долна Митрополия,0.03
"ФтЕЦ ""Ивана АИ 4""",община Долна Митрополия,0.03
"ФтЕЦ ""Мирослав Танев - Столетово 2""",община Опан,0.0297
"ФтЕЦ ""Илиян Илиев""",община Бобов дол,0.0299
"ФтЕЦ ""Топ Медия П - Брягово 3""",община Пловдив,0.0297
"ФтЕЦ ""РУСЕ-НЕЗАВИСИМОСТ""",община Русе,0.04
"ФтЕЦ ""Стидов 99 - Сунгурларе 1""",община Сунгурларе,0.19998
"ФтЕЦ ""Беляковец - 2""",община Велико Търново,0.005
"ФтЕЦ ""Бургас петрол инженеринг - Айтос 1""",община Айтос,0.2
"ФтЕЦ ""Ринг строй - Айтос 1""",община Айтос,0.1998
"ФтЕЦ ""Бистра - Айтос 1""",община Айтос,0.2
"ФтЕЦ ""Нови пазар - 2""",община Нови пазар,4.805
"ФтЕЦ ""Нови Пазар - 1""",община Нови пазар,4.805
"ФтЕЦ ""Каристо 2015 - Голямо Буково""",община Средец,0.1985
"ФтЕЦ ""ДИМИИТЪР ПЕТРОВ-ТЪРНАВА""",община Тунджа,0.003
"ФтЕЦ ""Мартен - Св. Св. Кирил и Методий""",община Русе,0.07
"ФтЕЦ ""Роки 3""",община Гулянци,0.03
"ФтЕЦ ""Лунатоне - Стряма""",община Раковски,0.1
"ФтЕЦ ""ЗПЗ - Варна - 10""",община Варна,0.253
"ФтЕЦ ""ЗПЗ - Варна - 11""",община Варна,0.094
"ФтЕЦ ""Русе - Ген. Радецки""",община Русе,0.03
"ФтЕЦ ""Русе - Трети Март - 20""",община Русе,0.1
"ФтЕЦ ""М.Търново 2 - Петров""",община Малко Търново,0.01584
"ФтЕЦ ""Шумен - Индустриална зона - 8""",община Шумен,0.05
"ФтЕЦ ""Екея - Козичино""",община Поморие,0.3
"ФтЕЦ ""Беляковец - 1""",община Велико Търново,0.03
"ФтЕЦ ""Лясковец - Клена""",община Лясковец,0.3
"ФтЕЦ ""Братя Гюрови - Бургас 2""",община Бургас,0.17813
"ФтЕЦ ""Джоди енерджи - Миладиновци 1""",община Тунджа,0.03
"ФтЕЦ ""Джоди енерджи - Хлябово 1""",община Тополовград,0.03
"ФтЕЦ ""ПЕТРА ПОПОВА-СЪЕДИНЕНИЕ""",община Съединение,0.005
"ФтЕЦ ""СТЕФАНОВА 1-СТАРА ЗАГОРА""",община Стара Загора,0.03
ФтЕЦ Богослов,община Кюстендил,0.03
"ФтЕЦ ""Сиси пласт - Сливен 1""",община Сливен,0.029815
"ФтЕЦ ""Миг Инвест ММАХ-Пловдив 2""",община Пловдив,0.09
"ФтЕЦ ""Ваньов""",община Долни Дъбник,0.03
"ФтЕЦ""АЛ Призма инженеринг""",община Перник,0.0297
"ФтЕЦ ""Варна - Пчелина""",община Варна,0.05
"ФтЕЦ ""Дриново 6""",община Попово,0.125
"ФтЕЦ ""Попово- 6""",община Попово,0.3
"ФтЕЦ ""Зографос Антон - Крушаре""",община Сливен,0.1998
"ФтЕЦ ""Три билд""",община Разлог,0.2
"ФтЕЦ ""Пежева - Бъта""",община Панагюрище,0.03
"ФтЕЦ ""ДКВ енерджи""",община Долни Дъбник,0.044
"ФтЕЦ ""Ряховците""",община Севлиево,0.06
ФтЕЦ Карин груп,община Чипровци,0.0288
"ФтЕЦ ""Горна Оряховица - Цар Освободител - 1""",община Горна Оряховица,0.03
"ФтЕЦ ""КОРСО""",община Банско,0.03
"ФтЕЦ"" Виан Солар 2""",община Левски,0.03
ФтЕЦ Добрич - 25-ти Септември - 49,община Добрич,0.1
"ФтЕЦ ""Рилон - Пловдив""",община Пловдив,0.09
"ФтЕЦ ""Панчев 2 - ПЛОВДИВ""",община Пловдив,0.0907
"ФтЕЦ ""Русе - България""",община Русе,0.08829
"ФтЕЦ ""Пролет 06 - Бургас""",община Бургас,0.1
"ФтЕЦ ""Тасо""",община Разлог,0.02968
"ФтЕЦ ""НРАВ 65 - Неделино""",община Неделино,0.01836
"ФтЕЦ"" АЛИАНА - ХАСКОВО""",община Хасково,0.3498
"ФтЕЦ ""Бургас 2013""",община Бургас,0.0297
"ФтЕЦ ""Сатурн 2 - Бургас""",община Бургас,0.06461
"ФтЕЦ ""Русе - Матей Стойков""",община Русе,0.0975
"ФтЕЦ ""Тони 92 М - Нова Загора 1""",община Нова Загора,0.199
"ФтЕЦ ""Панчев 1 - Пловдив""",община Пловдив,0.12
"ФтЕЦ ""Си Ко""",община Долна Митрополия,0.199
"ФтЕЦ ""Тодор Митов""",община Криводол,0.03
"ФтЕЦ ""Хебърстрой - Пазарджик 3""",община Пазарджик,0.02997
"ФтЕЦ ""Авангард - Пловдив""",община Пловдив,0.131435
"ФтЕЦ ""Габрово - Индустриална зона""",община Габрово,0.1998
"ФтЕЦ ""Габрово - Индустриална зона - 1""",община Габрово,0.14933
"ФтЕЦ ""Белопитов""",община Столична,0.199
"ФтЕЦ ""Наслайт 21""",община Левски,0.03
"ФтЕЦ ""Садина -2""",община Попово,0.03
"ФтЕЦ ""Сева - Рудозем""",община Рудозем,0.12727
"ФтЕЦ ""КДСГ - Ковачево 2""",община Раднево,0.1998
"ФтЕЦ ""КДСГ1 - Полски Градец 2""",община Раднево,0.19992
"ФтЕЦ ""Бунай Агро 2 - Панагюрище""",община Панагюрище,0.15
"ФтЕЦ ""Хранене и хотели Яница - Нова Загора 2""",община Нова Загора,0.05
"ФтЕЦ ""ЩРЪКЛЕВО-МЛАДОСТ""",община Иваново,0.03
"ФтЕЦ ""Партнер - Чоба""",община Брезово,0.029575
"ФтЕЦ ""Милениум МД 2""",община Плевен,0.15
"ФтЕЦ ""Текник A - Правище""",община Съединение,0.03
"ФтЕЦ ""Текник А - Стрелци""",община Брезово,0.03
"ФтЕЦ ""Кардам 21""",община Генерал Тошево,0.0297
"ФтЕЦ  ""Русе - Чародейка""",община Русе,0.06
"ФтЕЦ ""Каникар Лом""",община Лом,0.03
"ФтЕЦ ""РАДЛОВЦИ""",община Кюстендил,0.03
"ФтЕЦ ""Богослов""",община Кюстендил,0.03
"ФтЕЦ ""Чайка 97 - Пловдив""",община Пловдив,0.159
"ФтЕЦ ""Георги Митковски""",община Борован,0.03
"ФтЕЦ ""Бодринска 2""",община Червен бряг,0.03
"ФтЕЦ ""Детелина Кръстанова""",община Столична,0.005
"ФтЕЦ ""Рейбокс - Гранит 1""",община Братя Даскалови,0.1998
"ФтЕЦ ""Агропал""",община Столична,0.19292
"ФтЕЦ ""Хранене и хотели Яница - Нова Загора 3""",община Нова Загора,0.115
"ФтЕЦ ""Перунстрой 2006""",община Кресна,0.22
"ФтЕЦ ""Инекс трейд 4""",община Враца,0.1
"ФтЕЦ ""Антонина Димитрова""",община Кюстендил,0.03
"ФтЕЦ ""Цветодан""",община Кнежа,0.06
"ФтЕЦ ""Джоди енерджи - Деветинци 3""",община Карнобат,0.03996
"ФтЕЦ"" КАНЕВ 71-Горски Извор""",община Димитровград,0.03
"ФтЕЦ ""Канев 71 - Горски Извор 1""",община Димитровград,0.03
"ФтЕЦ ""Вектор гама - Конуш""",община Асеновград,0.27
"ФтЕЦ ""АЛЕКСАНДЪР АСЕНОВ""",община Петрич,0.03
"ФтЕЦ ""Солар Сървис - Крушаре 2""",община Сливен,0.06
"ФтЕЦ  ""999-Екоенерджи – Катуница""",община Садово,0.19495
"ФтЕЦ ""Извор Г - Бисер""",община Харманли,0.23
"ФтЕЦ ""Кабранова 55 - Гълъбинци""",община Тунджа,0.03
"ФтЕЦ ""Веселин Павлов""",община Столична,0.0297
"ФтЕЦ ""Лазарин Лашовски""",община Бяла Слатина,0.0297
"ФтЕЦ ""НИКОЛАЙ СТОЙКОВ""",община Левски,0.03
"ФтЕЦ ""Тръстеник - 3""",община Иваново,0.15
"ФтЕЦ  ""Лео Бетонови изделия - Бургас""",община Бургас,0.197505
"ФтЕЦ"" ГОРНА ОРЯХОВИЦА-ЦАР ОСВОБОДИТЕЛ- 2""",община Горна Оряховица,0.19
"ФтЕЦ ""Съсел комерс""",община Долна Митрополия,0.03
"ФтЕЦ""Иванчо Иванов - Лясково 1""",община Айтос,0.005
"ФтЕЦ ""Диана 77 - Елхово""",община Елхово,0.081329
"ФтЕЦ ""Ви Ен Текстил - Деветинци 1""",община Карнобат,0.06
"ФтЕЦ ""Уно ойл 1""",община Хаджидимово,0.2
"ФтЕЦ ""Уно Ойл 2""",община Хаджидимово,0.2
"ФтЕЦ ""Соларлайф""",община Столична,0.03
"ФтЕЦ ""МЛ инженеринг 80 - Българене 2""",община Раднево,0.17982
"ФтЕЦ ""Сутекс Трейд - Крумовград""",община Крумовград,0.199875
"ФтЕЦ ""Кирил Стойчев 97""",община Благоевград,0.1584
"ФтЕЦ ""Соларвиста - Русокастро""",община Камено,0.14245
"ФтЕЦ ""Солависта 2 - Русокастро""",община Камено,0.2497
"ФтЕЦ ""Георги Иванов""",община Роман,0.0297
"ФтЕЦ ""Битова техника Гарант - Пловдив""",община Пловдив,0.0999
"ФтЕЦ ""ДКЦ XXII София""",община Столична,0.03
"ФтЕЦ ""Бъдеще - Пловдив""",община Пловдив,0.19734
"ФтЕЦ ""АЛФАСИСТ ИНЖЕНЕРИНГ""",община Монтана,0.029645
"ФтЕЦ ""Алфасист инженеринг 2""",община Монтана,0.0486
"ФтЕЦ ""Алфасист инженеринг 3""",община Монтана,0.0495
"ФтЕЦ ""Дева Бродкаст - Бургас""",община Бургас,0.09
"ФтЕЦ ""Комфорт КЕ""",община Дупница,0.06
"ФтЕЦ ""Инс Транс - Труд""",община Марица,0.03
"ФтЕЦ ""Бета форест 3""",община Гулянци,0.03
"ФтЕЦ ""Голден Табако - Дядовци""",община Ардино,0.11016
"ФтЕЦ ""Агроконтрол""",община Кнежа,0.2
"ФтЕЦ ""Варна - Възраждане""",община Варна,0.036
"ФтЕЦ ""Елена Грозева - Поляново 1""",община Харманли,0.03
"ФтЕЦ"" Елена Грозева -Поляново 2""",община Харманли,0.03
"ФтЕЦ ""Ауто Мими 2""",община Плевен,0.08
ФтЕЦ Димко стар,община Костенец,0.029975
"ФтЕЦ ""Сливо поле - до шосето""",община Сливо поле,0.1
"ФтЕЦ ""Булейпъл - Първомай""",община Първомай,0.0504
"ФтЕЦ ""Горна Оряховица - Св. Княз Борис - I - 1""",община Горна Оряховица,0.91
"ФтЕЦ ""АНДИ""",община Враца,0.03
"ФтЕЦ ""Сит 2021 Рубин - Крумовград""",община Крумовград,3.30372
"ФтЕЦ ""Крамор 7""",община Червен бряг,0.03
"ФтЕЦ ""Енерджи Ди - Сигмен 1""",община Карнобат,4.99986
"ФтЕЦ ""Енерджи Ди 2 - Сигмен""",община Карнобат,4.99986
"ФтЕЦ ""Добрич - Варненско шосе - 1""",община Добрич,0.0477
"ФтЕЦ ""КиЕ Принт - Бургас""",община Бургас,0.1008
"ФтЕЦ ""Белица - Приморско""",община Приморско,0.22635
"ФтЕЦ ""Ивком""",община Костенец,0.029975
"ФтЕЦ ""Ивком 1""",община Костенец,0.069975
"ФтЕЦ  ""Ивком 2""",община Костенец,0.029975
"ФтЕЦ ""Хрис 90 - Сливен 6""",община Сливен,0.19955
"ФтЕЦ ""Фотокристиан 2 - Ветрен""",община Мъглиж,0.05
"ФтЕЦ ""Велико Търново - Чолаковци""",община Велико Търново,0.1
"ФтЕЦ ""Мивамарк текнолъджи""",община Пордим,0.06
"ФтЕЦ ""Велико Търново - Ксилифор""",община Велико Търново,0.1
"ФтЕЦ ""Институт по дървообработване - Пазарджик""",община Пазарджик,0.19975
"ФтЕЦ ""Европа-Хасково""",община Хасково,0.13248
"ФтЕЦ ""Бай Желяз Сън Системс - Чоба""",община Брезово,0.02967
"ФтЕЦ ""Редисис - Драгор""",община Пазарджик,2.5
"ФтЕЦ ""Севлиево - Ловнидолско шосе""",община Севлиево,0.03
"ФтЕЦ ""Крапец - 4""",община Шабла,0.03
"ФтЕЦ ""Гърчиново - 2""",община Опака,0.03
"ФтЕЦ ""Тера Дрил - Стара Загора""",община Стара Загора,0.1
"ФтЕЦ ""Две Могили-Шипка""",община Две могили,0.06
"ФтЕЦ ""Две могили - Орлова чука - 1""",община Две могили,0.06
"ФтЕЦ  ""Евротранс - Свиленград""",община Свиленград,0.34977
"ФтЕЦ ""Две Могили - Максим Горки""",община Две могили,0.06
"ФтЕЦ ""Риал Стейтс 251.17 MWp""",община Пазарджик,251.17039
"ФтЕЦ ""Елена 95 - Пловдив""",община Пловдив,0.135
"ФтЕЦ ""ИКО 3""",община Разлог,0.03
"ФтЕЦ ""ГУМ Дупница""",община Дупница,0.12
"ФтЕЦ ""Катя 2""",община Гулянци,0.121
"ФтЕЦ ""Ватковски 15""",община Искър,0.999
"ФтЕЦ ""Мечка - Лагера""",община Иваново,0.06
"ФтЕЦ ""ВМ Солар 11""",община Искър,0.999
"ФтЕЦ ""Янка Абрашкова""",община Своге,0.02964
"ФтЕЦ ""Балканец 1""",община Троян,0.03
"ФтЕЦ ""Диекс - Дълго Поле 1""",община Калояново,0.05
"ФтЕЦ ""Стара чешма 2""",община Перник,0.03
"ФтЕЦ ""Васка Белчева""",община Разлог,0.0352
"ФтЕЦ ""Русе - Зорница - 1""",община Русе,0.03
"ФтЕЦ ""Солар Ботуня""",община Криводол,0.1
"ФтЕЦ ""Аркадия херба""",община Елин Пелин,0.12
"ФтЕЦ ""Леденик - Маринкините мостчета - 3""",община Велико Търново,0.1
"ФтЕЦ ""Сентрал парк 1""",община Бургас,0.06384
"ФтЕЦ ""Каро трейдинг""",община Левски,4.88
"ФтЕЦ ""Сентрал парк 2""",община Бургас,0.06132
"ФтЕЦ ""Нимфа-Русалка-Слънчев бряг"" ООД",община Несебър,0.05
"ФтЕЦ ""Велико Търново - Сан Стефано - 1""",община Велико Търново,0.1
"ФтЕЦ ""Сухстрой - Пазарджик 2""",община Пазарджик,0.11994
"ФтЕЦ ""Мима Якова""",община Гулянци,0.08
"ФтЕЦ ""Мишел солар""",община Дупница,0.19965
"ФтЕЦ ""Милен Ганчев""",община Пордим,0.015
"ФтЕЦ ""Добрич - Свщ. П. Атанасов""",община Добрич,0.1998
"ФтЕЦ ""Добрич - Хан Тервел""",община Добрич,0.19947
"ФтЕЦ"" Минев Енерджи- Белащица""",община Родопи,0.03
"ФтЕЦ ""Сухстрой - Пазарджик 1""",община Пазарджик,0.17982
"ФтЕЦ ""Русе - Тракция - 1""",община Русе,0.1
"ФтЕЦ ""Борисово - 6""",община Сливо поле,0.04
"ФтЕЦ ""Стефи 78 2""",община Кресна,0.162
"ФтЕЦ ""Ставио - Димитровград 3""",община Димитровград,0.18
"ФтЕЦ ""Велико Търново - Никола Габровски - 10""",община Велико Търново,0.186
"ФтЕЦ ""Шумен - 4""",община Шумен,0.04687
"ФтЕЦ ""Цветан Димитров""",община Костенец,0.0297
"ФтЕЦ ""Ауто шик""",община Гулянци,0.15
"ФтЕЦ ""Буховци - 1""",община Търговище,0.0297
"ФтЕЦ ""Драгомъж""",община Исперих,0.06
"ФтЕЦ ""Присово - 2""",община Велико Търново,0.23
"ФтЕЦ ""Леденик - Маринкините мостчета - 4""",община Велико Търново,0.18
"ФтЕЦ ""Фиделис енерджи""",община Столична,0.04995
"ФтЕЦ ""ВП Брандс Интернешънъл - Пещера 3""",община Пещера,0.178
"ФтЕЦ ""Попово - 2""",община Попово,0.25
"ФтЕЦ ""Монт солар""",община Монтана,4.996
"ФтЕЦ"" САВА""",община Дългопол,0.03
"ФтЕЦ ""Хебърстрой - Пазарджик 9""",община Пазарджик,0.02997
"ФтЕЦ ""Хебърстрой - Пазарджик 8""",община Пазарджик,0.02997
"ФтЕЦ ""Хебърстрой - Пазарджик 7""",община Пазарджик,0.02997
"ФтЕЦ ""Хебърстрой - Пазарджик 6""",община Пазарджик,0.02997
"ФтЕЦ ""Хебърстрой - Пазарджик 5""",община Пазарджик,0.02997
"ФтЕЦ ""Хебърстрой - Пазарджик 4""",община Пазарджик,0.02997
"ФтЕЦ ""Ножарово""",община Самуил,0.03
"ФтЕЦ ""Норт Солар""",община Долни Дъбник,0.9999
"ФтЕЦ ""Соня Георгиева""",община Левски,0.03
"ФтЕЦ ""Елком 3""",община Плевен,0.099
"ФтЕЦ ""Руйно - Първа""",община Дулово,0.19019
"ФтЕЦ ""Маги - Сливен""",община Сливен,0.114
"ФтЕЦ ""Тоска 10.51-Хасково """,община Хасково,0.058
"ФтЕЦ ""ЗПЗ- Варна - 4""",община Варна,0.03
"ФтЕЦ ""Перфекта - Маджерито""",община Стара Загора,0.389675
"ФтЕЦ ""Смартинфо - Дядовци 1""",община Ардино,0.0462
"ФтЕЦ ""Смартинфо - Дядовци 2""",община Ардино,0.0498
"ФтЕЦ ""Смартинфо - Дядовци 3""",община Ардино,0.0498
"ФтЕЦ ""Смартинфо- Дядовци 4 """,община Ардино,0.0996
"ФтЕЦ ""Гълъбинци - Маги""",община Тунджа,0.02916
"ФтЕЦ ""Борово - Девети Септември""",община Борово,0.03
"ФтЕЦ ""Автотехника""",община Плевен,0.04
"ФтЕЦ ""Велико Търново - Магистрална -1""",община Велико Търново,0.029975
"ФтЕЦ ""Симона и Павел""",община Симитли,0.03
"ФтЕЦ ""Дейлис 2""",община Благоевград,0.09936
"ФтЕЦ ""Дейлис""",община Благоевград,0.095
"ФтЕЦ ""Автотрейд 6""",община Перник,1.0
"ФтЕЦ ""Старо село - Толбухин""",община Тутракан,0.03
"ФтЕЦ ""Силистра - 8""",община Силистра,0.491
"ФтЕЦ ""Зимница - Ивантин 3""",община Стралджа,0.05
"ФтЕЦ ""Езерче - 2""",община Цар Калоян,0.05
"ФтЕЦ ""Добрич - Добричка епопея""",община Добрич,0.092
"ФтЕЦ"" Енитро 2""",община Плевен,0.03
"ФтЕЦ ""КДСГ 2 - Константиновец""",община Раднево,0.2
"ФтЕЦ ""Луковит 9""",община Луковит,0.03
"ФтЕЦ ""Лидия Лазарова""",община Самоков,0.03
"ФтЕЦ ""Ясен 77 - Стралджа""",община Стралджа,0.04
"ФтЕЦ ""Поларис - Бургас""",община Бургас,0.0495
"ФтЕЦ ""Бяла - Русе - Васил Априлов""",община Бяла,4.859
"ФтЕЦ ""Ваки Хим - Марково""",община Родопи,0.199
"ФтЕЦ ""Георги Иванов - Сърнево""",община Раднево,0.02975
"ФтЕЦ ""Росица - Добрич""",община Генерал Тошево,0.01
"ФтЕЦ ""Петко Каравелово - 2”",община Полски Тръмбеш,0.03
"ФтЕЦ ""КДСГ - Ковачево 5""",община Раднево,0.07
"ФтЕЦ ""Смолница - Средна Смолница""",община Добричка,0.015
"ФтЕЦ ""Ямбол комерс""",община Ямбол,0.19446
"ФтЕЦ ""Вел Солар 2""",община Долни Дъбник,0.03
"ФтЕЦ ""Никола  Козлево-Георги  Сава Раковски""",община Никола Козлево,0.03
"ФтЕЦ ""Мартиник""",община Столична,0.1494
"ФтЕЦ ""Горна Оряховица - Иван Момчилов - 2""",община Горна Оряховица,0.16875
"ФтЕЦ ""Загрей - Татарево""",община Първомай,0.0315
"ФтЕЦ ""Верила""",община Дупница,100.0
"ФтЕЦ ""Гортекстил""",община Симитли,0.196
ФтЕЦ Димитър Русев Райчев,община Петрич,0.0297
"ФтЕЦ ""Ловеч 17""",община Ловеч,0.03
"ФтЕЦ ""Боби бейби маркет""",община Благоевград,0.0297
"ФтЕЦ ""Сънпро енрджи 3""",община Бяла Слатина,0.029575
"ФтЕЦ ""Сънпро енерджи 4""",община Бяла Слатина,0.03
"ФтЕЦ ""Вестим""",община Плевен,0.1
"ФтЕЦ ""Гофрило Ко""",община Кнежа,0.1
"ФтЕЦ ""Братя Иванови 2015-2""",община Разлог,0.03
"ФтЕЦ ""К ПИЕС - Гавраилово""",община Сливен,0.99463
"ФтЕЦ ""Агро Даниел 3""",община Никопол,0.03
"ФтЕЦ ""Лендхилс-Горно Белево 2""",община Братя Даскалови,0.18
"ФтЕЦ ""Мъдрево - 8 март""",община Кубрат,0.03
"ФтЕЦ ""СОЛАР ЕЙДЖ""",община Червен бряг,0.0966
"ФтЕЦ ""Дени 4""",община Левски,0.01
"ФтЕЦ ""Ряхово-Хаджи Димитър""",община Сливо поле,0.015
"ФтЕЦ ""Бестал груп 2""",община Столична,0.17
"ФтЕЦ ""Герт Груп 2 - Пловдив""",община Пловдив,0.0747
"ФтЕЦ ""Унико 99""",община Перник,0.05
"ФтЕЦ ""Кантилена 2""",община Сандански,1.5
"ФтЕЦ ""Велико Търново - ПЗ Дълга Лъка -1""",община Велико Търново,0.06
"ФтЕЦ ""Голден Табако - Първомай""",община Първомай,0.112
"ФтЕЦ ""Соня Личева - Неделино""",община Неделино,0.02943
"ФтЕЦ ""Дс Енерджи Стайкови - Хасково 2""",община Хасково,0.049755
"ФтЕЦ ""Никола Парапунов""",община Разлог,0.00455
"ФтЕЦ ""Гълъбинци - Маги 100""",община Тунджа,0.1
"ФтЕЦ ""Фаворит Пордим""",община Пордим,0.03
"ФтЕЦ ""АСА - Димитровград 3""",община Димитровград,0.1593
"ФтЕЦ ""МДРП Инвест - Бял клааденец 1""",община Нова Загора,0.15
"ФтЕЦ ""МДРП Инвест - Бял кладенец 2""",община Нова Загора,0.15
"ФтЕЦ ""Сливо Поле - Петко Р. Славейков""",община Сливо поле,0.04
"ФтЕЦ  ""Добрич - Отец Паисий""",община Добрич,0.03
"ФтЕЦ ""Добрич - Странджа""",община Добрич,0.025
ФтЕЦ „ЗП Кристина Дъвкова - Ляхово“,община Пазарджик,0.2
"ФтЕЦ ""Лайт Комерс- Костиево""",община Марица,0.1868
"ФтЕЦ ""Вас метал""",община Столична,0.1305
"ФтЕЦ ""Красимир Джигов - Устрем""",община Тополовград,0.03
"ФтЕЦ ""Василка""",община Кюстендил,0.005
"ФтЕЦ ""Десана 85""",община Кочериново,0.03
"ФтЕЦ ""Каловат 2 - Осетеново""",община Павел баня,0.04922
"ФтЕЦ ""Силистра - Симеон Велики - 1""",община Силистра,0.05852
"ФтЕЦ ""Джеси 97 - Бял кладенец""",община Нова Загора,0.04
"ФтЕЦ ""Бургас Солар Енерджи - Константиновец 1""",община Раднево,0.32945
"ФтЕЦ ""Солар Сис - Асеновград""",община Асеновград,0.0143
"ФтЕЦ ""Солар Сис - Брягово 2""",община Първомай,0.029945
"ФтЕЦ ""Солар Сис 3 - Брягово""",община Първомай,0.0198
"ФтЕЦ ""Горан 7""",община Ловеч,0.199
"ФтЕЦ ""Джотекс - Брестова 3""",община Гурково,0.03
"ФтЕЦ ""Джотекс 4 -Николаево""",община Николаево,0.03
"ФтЕЦ ""Джоди Енерджи - Мамарчево 3""",община Болярово,0.06
"ФтЕЦ ""Джоди Енерджи - Събрано 3""",община Нова Загора,0.0999
"ФтЕЦ ""Сънни би 2""",община Плевен,0.07
"ФтЕЦ ""Джоди Енерджи - Събрано 4""",община Нова Загора,0.105
"ФтЕЦ ""ДЖОДИ ЕНЕРДЖИ ДЕВЕТАК 7""",община Карнобат,0.2
"ФтЕЦ ""Садина - Несебър""",община Попово,0.03
"ФтЕЦ ""Добрич - 6-ти Септември""",община Добрич,0.198
"ФтЕЦ ""Добрич - Ангел Стоянов - 5""",община Добрич,0.1
ФтЕЦ Варна - Уста Кольо Фичето - 2,община Варна,0.09
"ФтЕЦ ""Марвик""",община Ловеч,2.1
"ФтЕЦ "" Бистренци - Христо Ботев""",община Бяла,0.03
"ФтЕЦ ""Филчева - Ямбол""",община Ямбол,0.0297
"ФтЕЦ ""Таси 3""",община Долни Дъбник,1.0
"ФтЕЦ ""Смилец""",община Силистра,0.0297
"ФтЕЦ ""Горна Оряховица - Честово - 1""",община Лясковец,0.3159
"ФтЕЦ ""ТЕРА СОЛ""",община Стара Загора,100.0
"ФтЕЦ ""Май Транс - Богомил""",община Харманли,0.03
"ФтЕЦ ""Поручик Гешаново - 1""",община Добричка,4.9995
"ФтЕЦ ""Росси - Слънчев бряг""",община Несебър,0.1199
"ФтЕЦ ""МЛ инженеринг - Петрово 3""",община Стара Загора,0.03996
"ФтЕЦ ""Чутуранов""",община Кюстендил,0.03
"ФтЕЦ ""Мариана Павлова - Стрелча""",община Стрелча,0.004
"ФтЕЦ ""Божичен-Вихрен""",община Иваново,0.05
"ФтЕЦ"" Русе-Трети март 17""",община Русе,0.08
"ФтЕЦ ""Лендхилс - Стрелец 1""",община Стара Загора,0.2
"ФтЕЦ ""Жеглица 2""",община Видин,0.06
"ФтЕЦ  ""Г солар - Овчеполци 2""",община Пазарджик,0.029625
"ФтЕЦ ""Нови Пазар - 5""",община Нови пазар,3.378
"ФтЕЦ ""Изворско""",община Аксаково,0.2
"ФтЕЦ ""Енерджи Груп - Брястово""",община Минерални бани,0.099
"ФтЕЦ ""Сид Хидар - Червенаково 3""",община Твърдица,0.16677
"ФтЕЦ ""Керамик - Сливен""",община Сливен,3.9894
"ФтЕЦ ""Ив Уайт""",община Банско,0.08
"ФтЕЦ ""Ален мак - 4""",община Варна,0.22
"ФтЕЦ ""Мечка - Атанас Пенков""",община Иваново,0.02992
"ФтЕЦ ""Ники Трейд - Кравино 2""",община Опан,0.12925
"ФтЕЦ ""Ники Трейд - Кравино 1""",община Опан,0.1914
"ФтЕЦ ""Еко Традекс Енерджи - Узунджово""",община Хасково,0.17976
"ФтЕЦ ""Русе - Трети Март - 22""",община Русе,0.05
