ime,obshtina,moshtnost
"ФтЕЦ ""Енерджи актив - Стара Загора 2""",община Стара Загора,0.989
"ФтЕЦ ""Тодоричене 1""",община Луковит,0.08664
"ФтЕЦ ""Смирненски""",община Ветово,0.6
"ФтЕЦ ""Ева - Кирилово""",община Елхово,0.0684
"ФтЕЦ ""Евро бетон""",община Пазарджик,4.78
"ФтЕЦ ""Камбелевци""",община Драгоман,0.02679
"ФтЕЦ ""Евро Енерджи - Мелница""",община Елхово,0.12636
"ФтЕЦ ""Евро Електрик - Веселиново""",община Тунджа,0.03948
"ФтЕЦ ""Евро лайтс""",община Харманли,0.06815
"ФтЕЦ ""Априлци""",община Пазарджик,0.4968
"ФтЕЦ ""Евротрейд - Стара Загора""",община Стара Загора,0.0041
"ФтЕЦ ""Евротрейд консулт- 2""",община Стара Загора,0.00507
"ФтЕЦ ""Ръжево Конаре""",община Калояново,4.99928
"ФтЕЦ ""Д. баня""",община Долна баня,0.08424
"ФтЕЦ ""Храбърско""",община Божурище,0.084
"ФтЕЦ ""Коларци""",община Тервел,1.12365
"ФтЕЦ ""Еко Енерджи - Смолник""",община Карнобат,0.005
"ФтЕЦ ""Екоенерджи - Самуилово""",община Сливен,0.19992
"ФтЕЦ ""Еко Енергия България 1""",община Лом,0.2
"ФтЕЦ ""Екоенерджи - Ягода""",община Мъглиж,0.076
"ФтЕЦ ""Електроекспрес""",община Пазарджик,0.01196
"ФтЕЦ ""Еколоджи електрик - Сърнево""",община Раднево,0.0296
"ФтЕЦ ""Еко Ел - Гълъбинци""",община Тунджа,0.02592
"ФтЕЦ ""Конево""",община Върбица,0.6
"ФтЕЦ ""Ен Ей Солар - Светослав""",община Стамболово,0.09072
"ФтЕЦ ""Калипетрово""",община Силистра,3.9
"ФтЕЦ ""Поп Груево""",община Тервел,4.9056
"ФтЕЦ ""Зора""",община Карлово,0.116
"ФтЕЦ ""Бряст""",община Димитровград,0.00486
"ФтЕЦ ""Ековат - Сърнево""",община Раднево,0.08928
"ФтЕЦ ""Ековат - Даскал Атанасово""",община Раднево,0.00493
"ФтЕЦ ""Еко Баг""",община Пазарджик,1.5
"ФтЕЦ ""Бонев - Чирпан""",община Чирпан,2.008
"ФтЕЦ ""Голямо Буково""",община Средец,0.01104
"ФтЕЦ ""Снежина""",община Провадия,0.0726
"ФтЕЦ ""Недялско""",община Стралджа,0.0504
"ФтЕЦ ""Еко Енерджи""",община Златица,0.08832
"ФтЕЦ ""Екоенерджи Солар""",община Враца,10.0
"ФтЕЦ ""Еко Солар""",община Петрич,0.2
"ФтЕЦ ""Екоенекс-Опълченец"" (ел. 1)",община Братя Даскалови,0.5
"ФтЕЦ ""Екоенекс-Опълченец"" (ел. 2)",община Братя Даскалови,1.5
"ФтЕЦ ""Еко Ел - Трънково""",община Раднево,0.1552
"ФтЕЦ ""Могилино""",община Две могили,0.10296
"ФтЕЦ ""Екомег - Добровница""",община Пазарджик,0.03
"ФтЕЦ ""Еко Енерджи М - Млекарево""",община Нова Загора,0.03
"ФтЕЦ ""Вельово - 1""",община Антоново,0.029
"ФтЕЦ ""Екооптима - с. Диня""",община Раднево,0.08487
"ФтЕЦ ""Екостар - Пъстрен""",община Опан,0.0741
"ФтЕЦ ""Екостар - Пъстрен 2""",община Опан,0.19941
"ФтЕЦ ""Еко парк""",община Чипровци,0.15
"ФтЕЦ ""Еко Мъдрино""",община Карнобат,2.0
"ФтЕЦ ""Еко Солар 2009 - В. Левски""",община Карлово,1.078
"ФтЕЦ ""Сапарево""",община Сапарева баня,5.0
"ФтЕЦ ""Екосолар""",община Враца,15.0
"ФтЕЦ ""Могилино - 1""",община Две могили,0.10235
"ФтЕЦ ""Долна Липница - 1""",община Павликени,1.25
"ФтЕЦ ""Еко фууд продакшън""",община Карнобат,0.036
"ФтЕЦ ""Еко Сън Ват - Оризари""",община Твърдица,0.8768
"ФтЕЦ ""Кърджали""",община Кърджали,4.09289
"ФтЕЦ ""Елстрой - 95""""",община Марица,0.00476
"ФтЕЦ ""Черешово - 1""",община Сливо поле,0.066
"ФтЕЦ ""Елис био енергия - Генералово""",община Свиленград,0.1
"ФтЕЦ ""Елви БС - Пещерско""",община Айтос,0.6
"ФтЕЦ ""ФЕЦ Ел Ви - Маленово""",община Стралджа,0.04968
"ФтЕЦ ""Ел грийн - Айтос""",община Айтос,0.2
"ФтЕЦ ""Елдат""",община Карлово,0.0048
"ФтЕЦ ""Елдад-М-2""",община Карлово,0.03
"ФтЕЦ ""ЕлДи Солар - Стралджа""",община Стралджа,0.02
"ФтЕЦ ""Веселец-2""",община Омуртаг,0.029
"ФтЕЦ ""Елис - Стралджа""",община Стралджа,0.08
"ФтЕЦ ""Елис 2 - Стралджа""",община Стралджа,0.08
"ФтЕЦ ""Елис""",община Божурище,0.0756
"ФтЕЦ ""Гюргич - 6""",община Ружинци,0.14924
"ФтЕЦ ""Елмет""",община Панагюрище,0.16803
"ФтЕЦ ""Електросани - Рогош""",община Марица,0.08
"ФтЕЦ ""Елрум - Овощник""",община Казанлък,0.02
"ФтЕЦ ""ЕЛ Енерджи СЛ""",община Сливен,0.0215
"ФтЕЦ ""Електро-соларни системи""",община Чепеларе,0.1702
"ФтЕЦ ""Василовци""",община Драгоман,0.0882
"ФтЕЦ ""Лесичово - 2""",община Лесичово,0.354
"ФтЕЦ ""ЕМ БГ""",община Благоевград,0.021
"ФтЕЦ ""Емзеперикс - Горица""",община Поморие,0.00495
"ФтЕЦ ""Е. Миролио - Ямбол""",община Ямбол,0.1996
"ФтЕЦ ""Селци""",община Садово,0.1008
"ФтЕЦ ""Малък Поровец""",община Исперих,0.005
"ФтЕЦ ""Емона - Камен връх""",община Болярово,0.44979
"ФтЕЦ ""Енерджи груп - БГ - Узунджово""",община Хасково,1.6
"ФтЕЦ ""Енерго БР - Ген. Николаево""",община Раковски,0.01092
"ФтЕЦ ""Феромагнит 1""",община Перник,0.2
"ФтЕЦ ""Долна Липница""",община Павликени,1.184
"ФтЕЦ ""Гюргич - 5""",община Ружинци,0.10304
"ФтЕЦ ""Еникос - Дълго поле""",община Димово,0.322
"ФтЕЦ ""Средногорци""",община Мадан,0.043
"ФтЕЦ ""Енергостил Макс - Симеоново""",община Тунджа,0.07912
"ФтЕЦ ""ПЕ Еко 1""",община Сандански,0.4136
"ФтЕЦ ""Енергийни проекти БГ - Атолово 1""",община Стралджа,3.3934
"ФтЕЦ ""Енергийни проекти БГ - Атолово 2""",община Стралджа,2.4816
"ФтЕЦ ""ЕОС 6 - Ягода""",община Мъглиж,0.0552
"ФтЕЦ ""Епъл Ем 1""",община Костенец,0.36
"ФтЕЦ ""Епъл Ем 2""",община Костенец,0.2
"ФтЕЦ ""Евро проджект - Герена""",община Стара Загора,0.19943
"ФтЕЦ ""Екоенергоинвест - Чешнегирово""",община Садово,0.8
